origin,destination,distance
10014020540,OX143YT,0
10014020707,OX144AB,36.89
10014020770,OX128LU,4.47
10014020873,OX129UN,3.16
10014021014,SN7 7QP,55.56
10014021111,SN7 7BJ,18.25
10014021153,OX1 5AF,56.42
10014021163,SN7 7BT,59.5
10014021301,OX141ZB,98.38
10014021324,SN7 7JG,45.12
10014021339,OX143XS,38.96
10014021408,OX136PS,50.27
10014021430,SN7 7PE,56.59
10014021431,OX143XZ,20.62
10014021527,OX145PA,74.43
10014021546,SN7 7TL,71.81
10014021683,SN7 7BP,60.15
10014021873,OX128QQ,27.21
10014021879,OX2 9TD,4.47
10014021989,OX127EL,23.86
10014022002,OX128BD,34.14
10014022136,OX2 9BZ,89.57
10014022150,OX127LU,70.06
10014022152,OX145TE,8.07
10014022234,OX141ER,14.15
10014022239,SN7 8DN,60.23
10014022240,OX1 5DD,39.31
10014022353,OX143RB,0
10014022385,OX2 9HN,61.29
10014022443,OX141HQ,36.25
10014022576,OX144AN,24.19
10014022622,OX136LF,52.37
10014022658,OX120AT,45.72
10014022667,OX120NF,39.37
10014022708,OX136HD,46.19
10014022732,OX120LE,53.16
10014022891,OX110DS,61.09
10014022907,OX145HA,36.41
10014022928,OX136DX,123.17
10014022938,OX141XH,44.74
10014022968,OX127NG,43.03
10014022996,OX129JZ,16.04
10014023067,OX136QD,57.51
10014023104,OX141DT,6.71
10014023136,OX110QT,91.1
10014023157,OX110TA,84.93
10014023222,OX136PH,20.26
10014023228,OX110FA,0
10014023328,OX110JU,0
10014023466,OX120FU,88.44
10014023499,OX141AY,85.64
10014023540,SN6 8RF,136.05
10014023558,SN7 7TF,44.22
10014023741,OX1 5RN,1.41
10014023829,OX119QB,54.4
10014023862,OX129QE,485.82
10014023875,OX120EB,359.82
10014023966,OX2 9AS,138.28
10014023993,OX135LS,87.88
10014023996,OX135LS,172.47
10014024087,OX120EW,30.42
10014024088,SN7 7AU,8.07
10014024104,OX129JU,114.31
10014024110,OX145BF,23.33
10014024114,OX129QJ,218.71
10014024135,OX129QL,77.13
10014024182,OX135HR,26.68
10014024260,OX135PG,6.08
10014024607,OX120DL,123.54
10014024711,OX144NT,94.23
10014024729,OX119QE,46.03
10014024809,SN7 8PA,65.54
10014024813,OX144FD,27.08
10014024889,OX143AD,41.32
10014025256,OX2 9QE,54.47
10014025266,OX110PF,25.01
10014025290,OX135FY,30.16
10014025384,OX143UJ,46.55
